source,target,votes
AL,UA,6
AM,UA,10
AU,UA,8
AT,UA,10
AZ,UA,10
BY,UA,10
BE,UA,2
BA,UA,7
BG,UA,10
HR,UA,10
CY,UA,7
CZ,UA,12
DK,UA,3
EE,UA,8
FI,UA,12
FR,UA,10
GE,UA,10
DE,UA,6
GR,UA,6
HU,UA,12
IS,UA,0
IE,UA,4
IL,UA,8
IT,UA,12
LV,UA,10
LT,UA,10
MT,UA,4
MD,UA,10
ME,UA,8
NL,UA,7
MK,UA,6
NO,UA,4
PL,UA,12
RU,UA,10
SM,UA,12
RS,UA,7
SI,UA,7
ES,UA,7
SE,UA,7
CH,UA,4
GB,UA,5
AL,AU,12
AM,AU,0
AT,AU,3
AZ,AU,2
BY,AU,1
BE,AU,4
BA,AU,3
BG,AU,5
HR,AU,5
CY,AU,5
CZ,AU,1
DK,AU,10
EE,AU,4
FI,AU,7
FR,AU,0
GE,AU,1
DE,AU,5
GR,AU,5
HU,AU,3
IS,AU,8
IE,AU,6
IL,AU,5
IT,AU,0
LV,AU,6
LT,AU,5
MT,AU,12
MD,AU,5
ME,AU,0
NL,AU,5
MK,AU,3
NO,AU,8
PL,AU,7
RU,AU,4
SM,AU,5
RS,AU,6
SI,AU,3
ES,AU,4
SE,AU,12
CH,AU,1
UA,AU,4
GB,AU,6
AL,RU,7
AM,RU,12
AU,RU,5
AT,RU,8
AZ,RU,12
BY,RU,12
BE,RU,6
BA,RU,6
BG,RU,12
HR,RU,8
CY,RU,10
CZ,RU,10
DK,RU,4
EE,RU,12
FI,RU,8
FR,RU,6
GE,RU,8
DE,RU,12
GR,RU,10
HU,RU,10
IS,RU,7
IE,RU,8
IL,RU,10
IT,RU,8
LV,RU,12
LT,RU,8
MT,RU,10
MD,RU,12
ME,RU,10
NL,RU,3
MK,RU,8
NO,RU,6
PL,RU,8
SM,RU,10
RS,RU,12
SI,RU,10
ES,RU,8
SE,RU,8
CH,RU,6
UA,RU,12
GB,RU,7
AL,BG,8
AM,BG,0
AU,BG,10
AT,BG,5
AZ,BG,8
BY,BG,4
BE,BG,5
